,DescGalaxyID,DMHalfMassRad,DMMass100AP,M500DM,R500DM,M200DMmean,R200DMmean
1141,1291136,27.821386,215734170000.0,167874920000.0,38.40029,259924130000.0,59.787273
1142,1291137,23.771608,186610250000.0,165728000000.0,35.724247,241326370000.0,54.676277
1143,1292259,49.25782,307585020000.0,335076850000.0,104.42324,468238600000.0,151.42499
1144,1292260,47.62236,310193000000.0,340407450000.0,102.01547,459964680000.0,146.96461
1145,1292261,46.531425,309398000000.0,327786330000.0,97.53478,451719460000.0,141.87642
1146,1292262,44.505005,310357820000.0,322783300000.0,93.58938,444363100000.0,135.38068
1147,1292263,42.696342,308690260000.0,308292880000.0,87.30116,421355620000.0,127.00154
1148,1292264,40.26968,303047740000.0,303352480000.0,83.008865,411933670000.0,120.86268
1149,1292265,38.42111,302941100000.0,297559130000.0,78.56721,409186000000.0,115.07376
1150,1292266,39.43429,299101880000.0,286660660000.0,73.67883,391571830000.0,108.22491
1151,1292267,35.09506,287128500000.0,275487260000.0,68.83111,371524630000.0,101.21066
1152,1292268,31.927265,265460060000.0,253966480000.0,60.796394,351698220000.0,90.316574
1153,1292269,33.355946,266681650000.0,233811970000.0,54.48761,336283000000.0,82.081406
1154,1292270,33.75286,270472400000.0,239214440000.0,50.42731,350841630000.0,76.77787
1155,1292271,29.043453,251402240000.0,228714870000.0,45.51602,344986160000.0,70.03652
1156,1292272,25.223026,193309540000.0,177755870000.0,39.13786,263341770000.0,59.957664
1157,1292273,27.592918,145658380000.0,85087640000.0,28.607328,161460080000.0,47.50784
1158,1294100,66.05126,373472560000.0,427421500000.0,110.05642,691349160000.0,162.32692
1159,1294101,56.339195,382682900000.0,447191550000.0,108.17582,657722640000.0,157.62608
1160,1294102,54.81815,373375600000.0,405805600000.0,101.00518,633721700000.0,151.2629
1161,1294103,52.659443,363011640000.0,376309680000.0,93.29984,562610800000.0,138.66908
1162,1294104,50.062782,358193170000.0,355884340000.0,87.54724,529965350000.0,129.90819
1163,1294105,48.318623,358745800000.0,362493640000.0,83.909584,521273970000.0,124.383415
1164,1294106,48.56735,362517170000.0,349635440000.0,78.72074,528081620000.0,118.651375
1165,1294107,58.161133,380850470000.0,328942420000.0,73.02318,545767650000.0,113.74986
1166,1294108,35.376587,379367200000.0,391809000000.0,70.244736,502139400000.0,102.425064
1167,1294109,41.631653,227949920000.0,157791830000.0,47.79252,256670650000.0,74.59696
1168,1294110,29.307564,176091120000.0,132406510000.0,41.40445,194820280000.0,62.836647
1169,1294111,27.883368,169411230000.0,112760414000.0,35.9568,179959760000.0,56.396404
1170,1294112,27.369387,161160760000.0,104679326000.0,32.80468,171977000000.0,52.073597
1171,1294113,22.495884,148838350000.0,107017670000.0,30.87857,157675910000.0,47.387993
1172,1296351,119.59134,464014570000.0,637625600000.0,133.67108,1568591200000.0,209.73608
1173,1296352,107.87815,460039620000.0,685179670000.0,132.54112,1374901900000.0,213.53925
1174,1296353,71.65906,566297360000.0,834179240000.0,137.54178,1255512500000.0,203.18298
1175,1296354,83.12136,386027650000.0,437026260000.0,107.35364,1085401800000.0,164.42444
1176,1296355,57.83851,387375270000.0,420036020000.0,102.17452,650788730000.0,151.5998
1177,1296356,48.389057,373821570000.0,396567870000.0,94.94213,576240400000.0,140.12178
1178,1296357,44.926765,360413360000.0,369545900000.0,88.651695,527100050000.0,130.14006
1179,1296358,43.584637,350359600000.0,348808870000.0,82.84072,491653330000.0,122.272064
1180,1296359,43.988087,354790240000.0,337779330000.0,77.82034,472674170000.0,115.30846
1181,1296360,37.31429,363031000000.0,364231500000.0,75.54744,480910200000.0,110.8333
1182,1296361,35.41432,299790240000.0,276962180000.0,62.57567,399682600000.0,92.92882
1183,1296363,25.995451,348624200000.0,369828300000.0,58.308655,422521000000.0,82.43193
1184,1296364,37.352695,121091130000.0,59695395000.0,29.087267,95089450000.0,45.28028
1185,1296365,21.775345,85403664000.0,62389580000.0,27.607405,96342240000.0,42.97577
1186,1296366,17.872166,71045290000.0,60825563000.0,25.579477,85623530000.0,38.744617
1187,1298133,106.11312,637924300000.0,999278800000.0,155.26717,1963319000000.0,237.29478
1188,1298134,98.41,612145200000.0,950151600000.0,147.79509,1608491500000.0,219.44768
1189,1298135,87.571686,628171150000.0,939792300000.0,143.11208,1509487400000.0,210.44614
1190,1298136,87.46955,622596460000.0,873568400000.0,135.22813,1458459400000.0,200.98201
1191,1298137,97.10937,582177850000.0,793554300000.0,126.31374,1462332000000.0,192.91794
1192,1298138,93.313896,602682900000.0,822721700000.0,121.08899,1477502700000.0,191.042
1193,1298139,70.81488,718635500000.0,1039723660000.0,125.15432,1414786000000.0,182.94267
1194,1298142,36.05208,348566030000.0,352981680000.0,74.76143,511073580000.0,112.21296
1195,1298143,34.426712,345376330000.0,338230480000.0,66.88648,460212000000.0,99.11556
1196,1298144,31.27716,321129000000.0,289787940000.0,58.528683,402937580000.0,87.24354
1197,1298145,28.850384,302931400000.0,273016030000.0,52.699657,379747240000.0,78.88102
1198,1298146,28.919956,295921880000.0,254931100000.0,47.19091,361229100000.0,71.35306
1199,1298147,27.035896,290832000000.0,244761000000.0,43.539604,348431350000.0,66.074936
1200,1298148,22.074406,250888390000.0,240633300000.0,40.454205,312087050000.0,59.569664
1201,1299998,125.93296,472953450000.0,1075200500000.0,159.09804,1974592600000.0,246.22885
1202,1299999,131.0801,395092560000.0,546533000000.0,122.91673,1648981300000.0,218.52211
1203,1300000,111.862144,371591700000.0,433780330000.0,110.6028,1057022300000.0,170.12616
1204,1300001,82.87569,383477870000.0,452891100000.0,108.6349,878692100000.0,170.33078
1205,1300002,63.875504,434018120000.0,580140340000.0,113.78669,847923050000.0,168.21597
1206,1300003,53.496082,362090560000.0,382034200000.0,93.76896,624544250000.0,138.64268
